id,col_3,col_4,col_5
3309,A1,090/226,A1-090
3310,A1,089/226,A1-089
3311,A1,088/226,A1-088
3312,A1,087/226,A1-087
3313,A1,086/226,A1-086
3314,A1,085/226,A1-085
3315,A1,084/226,A1-084
3316,A1,083/226,A1-083
3317,A1,082/226,A1-082
3318,A1,081/226,A1-081
3319,A1,080/226,A1-080
3320,A1,079/226,A1-079
3321,A1,078/226,A1-078
3322,A1,077/226,A1-077
3323,A1,076/226,A1-076
3324,A1,075/226,A1-075
3325,A1,074/226,A1-074
3326,A1,073/226,A1-073
3327,A1,072/226,A1-072
3328,A1,071/226,A1-071
3329,A1,070/226,A1-070
3330,A1,069/226,A1-069
3331,A1,068/226,A1-068
3332,A1,067/226,A1-067
3333,A1,066/226,A1-066
3334,A1,065/226,A1-065
3335,A1,064/226,A1-064
3336,A1,063/226,A1-063
3337,A1,062/226,A1-062
3338,A1,061/226,A1-061
3339,A1,060/226,A1-060
3340,A1,059/226,A1-059
3341,A1,058/226,A1-058
3342,A1,057/226,A1-057
3343,A1,056/226,A1-056
3344,A1,055/226,A1-055
3345,A1,054/226,A1-054
3346,A1,053/226,A1-053
3347,A1,052/226,A1-052
3348,A1,051/226,A1-051
3349,A1,050/226,A1-050
3350,A1,049/226,A1-049
3351,A1,048/226,A1-048
3352,A1,047/226,A1-047
3353,A1,046/226,A1-046
3354,A1,045/226,A1-045
3355,A1,044/226,A1-044
3356,A1,043/226,A1-043
3357,A1,042/226,A1-042
3358,A1,041/226,A1-041
3359,A1,040/226,A1-040
3360,A1,039/226,A1-039
3361,A1,038/226,A1-038
3362,A1,037/226,A1-037
3363,A1,036/226,A1-036
3364,A1,035/226,A1-035
3365,A1,034/226,A1-034
3366,A1,033/226,A1-033
3367,A1,032/226,A1-032
3368,A1,031/226,A1-031
3369,A1,030/226,A1-030
3370,A1,029/226,A1-029
3371,A1,028/226,A1-028
3372,A1,027/226,A1-027
3373,A1,026/226,A1-026
3374,A1,025/226,A1-025
3375,A1,024/226,A1-024
3376,A1,023/226,A1-023
3377,A1,022/226,A1-022
3378,A1,021/226,A1-021
3379,A1,020/226,A1-020
3380,A1,019/226,A1-019
3381,A1,018/226,A1-018
3382,A1,017/226,A1-017
3383,A1,016/226,A1-016
3384,A1,015/226,A1-015
3385,A1,014/226,A1-014
3386,A1,013/226,A1-013
3387,A1,012/226,A1-012
3388,A1,011/226,A1-011
3389,A1,010/226,A1-010
3390,A1,009/226,A1-009
3391,A1,008/226,A1-008
3392,A1,007/226,A1-007
3393,A1,006/226,A1-006
3394,A1,005/226,A1-005
3395,A1,004/226,A1-004
3396,A1,003/226,A1-003
3397,A1,002/226,A1-002
3398,A1,001/226,A1-001
3399,PROMO-A,017/P-A,P-A-017
3400,PROMO-A,016/P-A,P-A-016
3401,PROMO-A,015/P-A,P-A-015
3402,PROMO-A,018/P-A,P-A-018
3403,PROMO-A,019/P-A,P-A-019
3404,PROMO-A,020/P-A,P-A-020
3405,PROMO-A,021/P-A,P-A-021
3406,PROMO-A,022/P-A,P-A-022
3407,PROMO-A,010/P-A,P-A-010
3408,PROMO-A,023/226,P-A-023
3409,PROMO-A,097/226,P-A-097
3410,A1a,086/068,A1a-086
3411,A1a,085/068,A1a-085
3412,A1a,084/068,A1a-084
3413,A1a,083/068,A1a-083
3414,A1a,082/068,A1a-082
3415,A1a,081/068,A1a-081
3416,A1a,080/068,A1a-080
3417,A1a,079/068,A1a-079
3418,A1a,078/068,A1a-078
3419,A1a,077/068,A1a-077
3420,A1a,076/068,A1a-076
3421,A1a,075/068,A1a-075
3422,A1a,074/068,A1a-074
3423,A1a,073/068,A1a-073
3424,A1a,072/068,A1a-072
3425,A1a,071/068,A1a-071
3426,A1a,070/068,A1a-070
3427,A1a,069/068,A1a-069
3428,A1a,068/068,A1a-068
3429,A1a,067/068,A1a-067
3430,A1a,066/068,A1a-066
3431,A1a,065/068,A1a-065
3432,A1a,064/068,A1a-064
3433,A1a,063/068,A1a-063
3434,A1a,062/068,A1a-062
3435,A1a,061/068,A1a-061
3436,A1a,060/068,A1a-060
3437,A1a,059/068,A1a-059
3438,A1a,058/068,A1a-058
3439,A1a,057/068,A1a-057
3440,A1a,056/068,A1a-056
3441,A1a,055/068,A1a-055
3442,A1a,054/068,A1a-054
3443,A1a,053/068,A1a-053
3444,A1a,052/068,A1a-052
3445,A1a,051/068,A1a-051
3446,A1a,050/068,A1a-050
3447,A1a,049/068,A1a-049
3448,A1a,048/068,A1a-048
3449,A1a,047/068,A1a-047
3450,A1a,046/068,A1a-046
3451,A1a,045/068,A1a-045
3452,A1a,044/068,A1a-044
3453,A1a,043/068,A1a-043
3454,A1a,042/068,A1a-042
3455,A1a,041/068,A1a-041
3456,A1a,040/068,A1a-040
3457,A1a,039/068,A1a-039
3458,A1a,038/068,A1a-038
3459,A1a,037/068,A1a-037
3460,A1a,036/068,A1a-036
3461,A1a,035/068,A1a-035
3462,A1a,034/068,A1a-034
3463,A1a,033/068,A1a-033
3464,A1a,032/068,A1a-032
3465,A1a,031/068,A1a-031
3466,A1a,030/069,A1a-030
3467,A1a,029/069,A1a-029
3468,A1a,028/069,A1a-028
3469,A1a,027/069,A1a-027
3470,A1a,026/069,A1a-026
3471,A1a,025/069,A1a-025
3472,A1a,024/069,A1a-024
3473,A1a,023/069,A1a-023
3474,A1a,022/068,A1a-022
3475,A1a,021/068,A1a-021
3476,A1a,020/068,A1a-020
3477,A1a,019/068,A1a-019
3478,A1a,018/068,A1a-018
3479,A1a,017/068,A1a-017
3480,A1a,016/068,A1a-016
3481,A1a,015/068,A1a-015
3482,A1a,014/068,A1a-014
3483,A1a,013/068,A1a-013
3484,A1a,012/068,A1a-012
3485,A1a,011/068,A1a-011
3486,A1a,010/068,A1a-010
3487,A1a,009/068,A1a-009
3488,A1a,008/068,A1a-008
3489,A1a,007/068,A1a-007
3490,A1a,006/068,A1a-006
3491,A1a,005/068,A1a-005
3492,A1a,004/068,A1a-004
3493,A1a,003/068,A1a-003
3494,A1a,002/068,A1a-002
3495,A1a,001/068,A1a-001
3496,PROMO-A,025/P-A,P-A-025
3497,PROMO-A,026/P-A,P-A-026
3498,PROMO-A,027/P-A,P-A-027
3499,PROMO-A,028/P-A,P-A-028
3500,PROMO-A,029/P-A,P-A-029
3501,PROMO-A,030/P-A,P-A-030
3502,PROMO-A,031/P-A,P-A-031
3503,PROMO-A,032/P-A,P-A-032
3504,PROMO-A,033/P-A,P-A-033
3505,PROMO-A,008/P-A,P-A-008
3506,A2,207/155,A2-207
3507,A2,206/155,A2-206
3508,A2,205/155,A2-205
3509,A2,204/155,A2-204
3510,A2,203/155,A2-203
3511,A2,202/155,A2-202
3512,A2,201/155,A2-201
3513,A2,200/155,A2-200
3514,A2,199/155,A2-199
3515,A2,198/155,A2-198
3516,A2,197/155,A2-197
3517,A2,196/155,A2-196
3518,A2,195/155,A2-195
3519,A2,194/155,A2-194
3520,A2,193/155,A2-193
3521,A2,192/155,A2-192
3522,A2,191/155,A2-191
3523,A2,190/155,A2-190
3524,A2,189/155,A2-189
3525,A2,188/155,A2-188
3526,A2,187/155,A2-187
3527,A2,186/155,A2-186
3528,A2,185/155,A2-185
3529,A2,184/155,A2-184
3530,A2,183/155,A2-183
3531,A2,182/155,A2-182
3532,A2,181/155,A2-181
3533,A2,180/155,A2-180
3534,A2,179/155,A2-179
3535,A2,178/155,A2-178
